Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
  3rd week May,636.67,700,700,305,693.33,185,650,440,517.5,125,,,887.5,853.33,297.5,415,675,373.33,625,537.5,600,675,278.75,322.5,600,137.5,787.5,595,403.33
 3rd week November,928,,1172.5,760,1035,293.33,,466,,160,270,,,895,400,,790,372,,523.33,,782.5,,,,210,,1023.33,
 3rd week October,412.5,475,729.29,320,397.14,176,576.67,362.14,372.86,140,150,254.29,1087.5,860,226,300,600,247.14,549,360.71,720,481.25,236.43,306.67,365.71,106.67,806.25,600,310
 3rd week September,576.67,400,700,335.83,724.29,216,591.67,398,395,176.67,­,324.17,1160,880,348,350,733.33,326,662.5,520,642.14,­,284.29,412.5,456.43,159,850,600,352
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week September,1080,,1340,693.3333333333334,1143.3333333333333,235,,475,,200,,,,,,,,420,,,,665,,,,,,1100,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,අංජිලා (කපන),,කෙලවල්ලා,තලපත්,කොප්පරා,පරව් (ලොකු),,පරා කූරි,,ලේන පරව්,ගල් මාළු (S),,,ලෝමැස්සා,මෝරා,,යක් සාලයා,මට්ට සාලයා,,කුම්බලා,,කටුවල්ලා,,,,හැඩැල්ලා,,ලින්නා,
 ,0.0,,1143.3333333333333,1340.0,0.0,1080.0,,680.0,,395.0,0.0,,,593.3333333333334,0.0,,180.0,230.0,,542.5,,0.0,,,,860.0,,346.6666666666667,
 4th week April,663.33,550,708.33,384,683.33,194.17,550,443,560,130,340,400,850,838.33,410,433.33,600,550,600,470,775,550,446.25,280,530,155,783.33,565,414
 4th week August,630,425,754.17,362.86,619.17,270,600.83,364.17,530.83,160,­,315,963.33,911,375,380,680,414.29,750,581,583.33,700,277.86,375.83,451.67,177,925,600,346.67
  4thWeek December,540,550,681.67,387.5,531.67,210,626.67,450,550,143.33,220,300,925,770,400,466.67,625,438,600,465,1150,700,309,432,650,151,825,475,374
 4th week February,530,433.33,692,365,511.43,150,597.14,349.29,409.17,100,250,228,825.83,830,253.33,350,605,431,502.14,397,730,528.75,218.57,315.83,450,118.75,670,587.5,380
  4th Week January,608.33,550,628,280.83,587.86,128.57,558.33,264.29,422.14,132.86,262.5,250,838.33,822.5,227.5,295,700,360,566.67,427.14,785.71,613.33,209.29,287.86,516.67,108.33,792.14,560,382.5
 4th Week January ,632.5,450,665.71,415,625,202.5,­,507.5,550,150,335,297,858.33,863.57,413.33,437.5,700,540,561,572.5,850,700,428.75,440,­,155,751.67,440,376.67
 4th week July,610,400,736,414.17,683.33,218.57,636.67,395.71,430,­,­,425,883.33,880,368,436.67,713.33,383.57,700,531.67,814.29,693.33,416,420,574,136,855,572,300
  4th week June,635,400,712,415,700,300,600,456,620.83,­,400,­,925,869,408,426,766.67,513,793.33,600,785,700,466.67,443.33,500,188.33,865,582.5,383.33
 4th week March,944,,1106.67,646.67,873.33,200,,399.33,,180,360,,,890,320,,800,420,,­,,672.5,,,,­,,800,
  4th week May,638,400,750,360.83,601.43,172.86,650,452.5,525.71,150,206.67,­,857.14,877.5,343.33,350,705,477.5,965,548.57,705,700,310.83,368.75,615,160,762.5,586.67,363.33
 4th Week November,600,462.5,700,345.83,557.5,230,600,397.5,432.86,126.67,­,302.5,1083.33,976.67,390,465,633.33,375,575,452,783.33,650,282.86,300,401.25,131,783.33,520,320
 4th week October,437.5,450,711.67,302.5,454,162,576.25,331.67,320,150,200,268,1190,832,240,315,565,306.25,470,366,850,500,252.5,305,350,116,787.5,625,330
 4th week September,540,425,704,360,682.86,196.43,613,356.43,460,163.33,­,282.5,1028.57,892,360,375,700,309.17,630,486.43,721.43,700,325.71,375,458.33,143.33,875,600,362.5
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1033.33,900,1310,665,1050,283.33,,625,718.75,260,350,450,1150,,,,,,650,875,1066.67,,,633.33,750,183.33,1095.83,,
,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Apr.,1430,1460,1550,850,1121.67,654.17,1300,785.71,921.43,433.33,666.67,525,1325,1950,,,,853.57,1225,1150,1300,,,850,1100,380,1750,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 1st week of Apr.,975,1150,1266.67,704.17,915,437,900,685,725,341.67,437.5,543.75,1325,1458.33,,,,690,950,885,1020,,,670,940,310,1471.43,,350
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 1st week of Apr.,1042.86,1107.14,1535,635.71,1025,390,1300,546.43,757.14,315,450,500,1707.14,1771.43,,,,678.57,971.43,821.43,1228.57,,,671.43,914.29,257.5,1585.71,,525
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of Apr.,1120,1100,1583.33,633.33,1220,414.29,960,595.83,820,260,475,400,1642.86,1710,,,,725,1000,840,1200,,,600,800,280,1583.33,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of Apr.,1033.33,1112.5,1582.14,816.67,1083.33,341.67,1066.67,585.71,792.86,283.33,407.5,430,875,1733.33,,,,750,1100,925,900,,,764.29,1120,270,1600,,400
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 3rd week of Apr.,1100,1287.5,1533.33,779.17,1258.33,485,925,710.71,892.86,250,487.5,450,1735.71,1707.14,,,,925,1400,1012.5,980,,,755,1079.17,400,1564.29,,450
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of Apr.,1242.26,1064.29,1585.71,821.43,1207.14,439.29,966.67,689.29,891.67,408.33,600,500,1350,1800,,,,842.86,1120,816.67,1300,,,691.67,1016.67,333.33,1485.71,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 4th week of Apr.,1050,1180,1583.33,695,1075,491.67,1366.67,656.67,966.67,370,475,416.67,1683.33,1825,,,,920,1200,1083.33,1160,,,775,1040,370,1591.67,,500
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 1st week of Aug.,1628.75,1825,1932.14,1028.57,1700,787.5,1400,1018.75,1150,775,,650,1375,2185.71,,,,1150,1437.5,1270,1425,,,1045,1100,600,1600,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 1st  week of Aug.,1360,1533.3333333333333,1912.5,925,1362.5,566.6666666666666,1000,758.3333333333334,987.5,412.5, ,500,1416.6666666666667,2333.3333333333335,,,,700,1433.3333333333333,1133.3333333333333,1375,,,850,1333.33,516.6666666666666,1780,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of July,1200,1250,1707.14,714.29,1328.57,366.67,1025,700,814.29,365,437.5,412.5,1571.43,2185.71,,,,700,1114.29,857.14,1100,,,542.86,835.71,238.33,1528.57,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd  week of Aug.,1379.1666666666667,1166.6666666666667,1885.7142857142858,907.1428571428571,1280,482.14285714285717,1083.3333333333333,625,971.4285714285714,470,500,400,1378.5714285714287,2400,,,,887.5,1183.3333333333333,1028.5714285714287,1225,,,864.2857142857143,1175,398,1640,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of July,914.29,1066.67,1435.71,689.29,1175,271.43,950,560.71,767.66,270,475,454.17,1557.14,1921.43,,,,662.5,1010,785.71,1150,,,528.57,764.29,218.57,1528.57,,510
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of Aug.,1560,1712.5,2214.29,866.67,1840,719.29,1221.67,850,1150,500,533.33,,1570,2350,,,,900,950,1320,1375,,,842.86,1475,542.86,1628.57,,700
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,, ,, ,,,,,,,,
 3rd  week of Aug.,1220,1450,1990,729.17,1435.71,529.17,1090,503.75,1014.29,450,650,537.5,1457.14,2228.57,,,,790,1240,1075,1375,,,760.71,1050,462.5,1775,,550
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd  week of July,995.83,1133.33,1550,725,1316.67,350,1100,640,800,305,460,583.33,1566.67,1933.33,,,,700,1100,950,1216.67,,,550,666.67,265,1733.33,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of Aug.,1750,1900,2433.33,935.71,1650,685.71,1300,1050,1235.71,537.5,616.67,680,1550,2475,,,,1050,1353.13,1140,1357.14,,,858.33,1366.67,450.71,1635.71,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,1750.0,1900.0,935.71,1650.0,685.71,1300.0,1050.0,1235.71,537.5,616.67,680.0,1550.0,2475.0,700.0,,,,1353.13,1140.0,1357.14,1583.33,,,450.71,1635.71,2175.0,500.0,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 4th  week of Aug.,1183.33,1428,1960.67,854.17,1350,478.57,1125,553.57,857.14,442.86,550,485.77,1471.43,2400,,,,910,1375,1100,1166.67,,,657.14,1200,341.67,1400,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th  week of Aug.,1128.57,1028.57,1816.67,775,1185.71,325,900,683.33,885.71,340,433.33,412.5,1671.43,2266.67,,,,750,1040,1007.14,1178.57,,,583.33,853.33,250,1600,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
   , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
