Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of  Jan.,1183.33,1314.29,1492.86,621.43,1214.29,392.86,1040,804.17,878.57,342.86,475,464.29,1435.71,1721.43,,,,960,1066.62,964.29,1442.86,,,715,1116.62,305,1454.14,,450
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of Jan.,1060,975,1766.67,590,1058.33,271.67,860,566.67,570.83,225,500,416.67,1475,2158.33,,,,608.33,840,708.33,1233.33,,,541.67,808.33,215,1350,,450
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 1st week of July,1380,1475,1592.86,900,1366.67,700,,932.14,1114.29,637.5,725,666.67,1220,1864.29,,,,1050,1221.43,1066.67,1337.5,,,987.5,1220,475.83,1366.67,,
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of July,1350,1583.33,2091.67,1100,1750,579.17,1300,966.67,1200,400,625,754.17,1354.17,2316.67,,,,1225,1587.5,1350,1420,,,1040,1440,485,1483.33,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  ,,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of July,1260,1425,1842.86,560.71,1012.5,267.5,1100,641.67,907.14,230,600,462.5,1478.57,2321.43,,,,840,1150,807.14,1230,,,500,1150,196.25,1650,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
  , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of July,1390,1500,1700,841.67,1333.33,641.67,900,830,1100,508.33,,700,1225,1925,,,,950,1166.67,1085,1325,,,770,1200,445,1241.67,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of July,1380,1458.33,2285.71,1032.14,1533.33,550,1200,917.86,1271.43,380,512.5,783.33,1408.33,2585.71,,,,1175,1300,1273.33,1592.86,,,975,1160,410,1375,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  ,,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of July,1175,1225,1782.14,707.14,1216.67,277.5,1010,791.67,1017.86,300,533.33,470,1539.29,2135.71,,,,975,1300,953.57,1478.57,,,682.14,1090,234,1658.33,,550
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
  , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd  week of July,1260,1450,1733.33,745.83,1425,244.17,1100,683.33,916.67,300,575,383.33,1608.33,2191.67,,,,775,1200,1083.33,1400,,,716.67,950,212.5,1650,,516.67
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of July,1460,1800,1691.67,991.67,1560,728.57,800,953.57,1150,590,850,800,1250,2107.14,,,,980,1330,1083.33,1350,,,746.43,1125,497.8,1514.29,,450
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd  week of July,1308.3333333333333,1391.6666666666667,2092.8571428571427,864.2857142857143,1550,535.7142857142857,1250,870,1058.3333333333333,375,550,600,1475,2528.5714285714284,,,,968.75,1337.5,1083.3333333333333,1200,,,864.2857142857143,1437.5,400,1560,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of July,1442.86,1650,1870,1008.57,1600,663.33,,825,1078.57,590,625,675,1328.57,2062.5,,,,950,1216.67,966.67,1217.5,,,815,1170.83,440,1375,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th  week of July,1390,1450,1814.29,935.71,1457.14,557.14,1400,725,1164.29,440,675,480,1400,2475,,,,1120,1470,1335.71,1416.67,,,935.71,1220,433.33,1720,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th  week of July,1173.41,1441.67,1728.57,842.86,1416.67,417.86,1000,775,1000,341.67,381.25,444,1428.57,2278.57,,,,910,1380,921.43,1303.57,,,639.29,978.57,262.5,1600,,516.67
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 1st week of June,1470,1750,1739.29,1021.43,1555,658.57,1275,991.67,1164.29,400,650,705,1075,1907.14,,860,,1091.67,1400,1025,1310,,,905,975,418.75,1516.67,,600
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of June,1380,1437.5,2000,1131.25,1420,606.67,1015,1062.5,1260,283.33,580,630,1333.33,2433.33,,,,1191.62,1412.5,1200,1530,,,981.25,1312.5,479.17,1608.33,,650
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 1st  week of June,1437.5,1520,2083.33,1157.14,1620,571.43,1033.33,950,1264.29,366.67,875,600,1471.43,2533.33,,,,1137.5,1533.33,1258.33,1616.67,,,1030,1333.33,412.5,1716.67,,700
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of June,1150,1200,1750,920.33,1400,633.33,1000,950,1180,512.5,550,600,1166.67,1941.67,,990,,1060,1075,1012.5,1325,,,937.5,1080,380,1491.67,,
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of June,1520,1570,2440,1333.33,1742.86,641.67,1400,1157.14,1391.67,350,900,675,1375,2785.71,,,,1325,1550,1300,1725,,,1225,1380,466.67,1750,,716.67
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 2nd  week of June,1440,1442.86,2135.71,1032.14,1516.67,407.14,1100,889.29,1100,375,700,650,1564.29,2457.14,,,,962.5,1350,1207.14,1207.14,,,750,1370,312.5,1580,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
  , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of June,1362.5,1600,1721.43,864.29,1600,683.33,,1014.29,1225,533.33,500,600,1092.86,1978.57,,916.67,,1020,1350,1058,,,,857.14,1175,485,1340,,
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of June,1417.86,1620,2164.29,1157.14,1475,500,1350,966.67,1307.14,416.67,850,578.57,1396.43,2435.71,,,,1228.57,1471.43,1285.71,1514.29,,,1042.86,1530,420,1696.43,,600
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 3rd  week of June,1233.33,1462.5,1983.3,712.5,1480,445.83,1000,716.67,1000,276.25,600,450,1383.33,2258.33,,,,925,1287.5,966.67,1287.5,,,600,1160,311.67,1691.67,,500
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
  , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of June,1300,1360,1700,807.14,1375,521.43,1166.67,904.17,1070.83,355,550,516.67,1091.67,1891.67,,,,964.29,1316.62,858.33,1292.86,,,790,1083.33,353.57,1250,,600
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of June,1442.86,1400,2283.33,1100,1566.67,491.66,1125,1042.86,1207.14,370.83,780,766.67,1400,2592.86,,,,1150,1450,1200,1566.67,,,916.67,1525,310,1533.33,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 4th  week of June,1441.67,1466.67,1864.29,828.52,1183.33,516.67,1028.57,800,1007,312.5,575,633.3,1464.29,2250,,,,1033.33,1450,1025,1285.71,,,689.23,1170,450,1750,,512.5
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
  , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 4th  week of Feb.,833.33,873.33,1216.67,618.33,1100,256,800,606.43,626,200,356,330,1100,1483.33,,650,,580,633.33,625,925,,,500,712.5,151.43,1212.5,,350
 Last Year,0.7304347826086957,,0.6324246575342467,0.5090890600767805,0.4052013422818792,0.6166138158303798,0.5,0.5196746936094059,0.7518915350632204,1.0512820512820513,0.5483870967741935,0.5992411876295938,0.3271604938271605,0.6212293249364971,,0.9428571428571428,,0.6773648202446048,0.5957446808510638,0.651685393258427,0.34831460674157305,,,0.49333333333333335,,0.8682439765574125,0.804698779367371,,
 2020.0,0.6835871404399323,,0.7900737558396299,1.2764823195520443,0.38921142553826754,0.33820577487261316,0.5,0.4716670688633922,0.15320976718533244,0.48148148148148145,0.8461538461538461,0.12577639751552794,-0.10416666666666667,0.6376772179588748,,0.6,,0.13055708868196636,0.08433212370060873,0.33636363636363636,0.7142857142857143,,,0.4,,0.32415384615384607,0.8831603615667895,,
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of Mar.,1120,1150,1340,620.83,940,423.33,906.25,716.67,837.5,350,465,483.33,1541.67,1583.33,,,,787.5,910,916.67,1175,,,700,880,320,1550,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of Mar.,1067.86,1125,1692.86,525,1191.67,265.83,930,703.57,750,329.17,503.57,454.17,1635.71,1878.57,,,,703.57,1033.33,987.5,1320,,,739.29,917.86,209.17,1560,,400
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 1st  week of Mar.,995,1200,1191.67,593.57,837.5,260,900,670.83,690,200,480,362.5,1075,1385,,680,,635,750,735,1200,,,560,925,172.14,1237.5,,
 Last Year,1.0281832970654723,,0.8693221332824238,0.5462691301244945,0.6596286919831225,0.6385334482529998,0.057692307692307696,0.4355247515869278,0.6212627977634232,1.5333,0.36365185968022373,0.8055555555555556,0.2914793261868301,0.7263916530258959,,0.42711395049432793,,0.5979000181032922,0.7018305587677002,0.5406976744186046,0.4457831325301205,,,0.2857142857142857,0.7732558139534884,1.161153846153846,0.9060205580029369,,0.4144736842105263
 2020.0,0.8823529411764706,,1.0645030120481926,0.8921628877316685,0.7685791366906476,0.26738461538461533,-0.017857142857142856,0.47465437788018433,0.12058164363739045,0.8095000000000001,0.30293159609120524,-0.07142857142857142,0.01362500000000007,0.6997101449275362,,0.25,,0.16139097744360906,0.248,0.26673040152963673,0.2,,,0.10429447852760736,,0.16255172413793098,0.8429618320610689,,0.4685792349726776
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Mar.,1171.43,1121.43,1307.14,728.57,1200,425,966.67,735.71,800,350,483.33,475,1342.86,1585.71,,,,766.67,1066.67,892.86,1192.86,,,714.29,985,364.29,1464.29,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Mar.,960,957.14,1542.86,492.86,1010.71,275,814.29,550,650,278.33,500,510,1514.29,1771.43,,,,564.29,860,808.33,1116.67,,,521.43,778.57,221.67,1657.14,,400
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 2nd  week of Mar.,960,891.67,1370.83,585,983.33,247.14,687.5,640,635,253.33,400,325,1054.17,1466,,587.5,,617.86,780,662.5,1200,,,450,762.5,168.57,1207.14,,537.5
 Last Year,,,0.7999910000449999,0.36479382941067695,0.6324626865671642,0.8133802816901409,0.2345679012345679,0.34186160933935683,0.25240416871673305,1.5,0.3836603773584906,0.2711648955102457,0.22490361445783127,0.7741935483870968,,0.3323353293413174,,0.22004392185569854,0.2580563996361315,0.48622762401743835,0.7256637168141593,,,0.6400264002640026,0.3579175704989154,0.9529038831654025,0.3793103448275862,,
 2020.0,0.6411632653061223,,0.8181818181818182,0.6774999999999999,0.6762452107279694,0.5297332620447929,,0.7604084147522227,-0.06666666666666667,1.0833333333333333,0.2941446369957295,-0.2857142857142857,0.08444799999999995,,,0.390625,,-0.007758139534883645,-0.07142857142857142,0.318359375,0.1386861313868613,,,0.2862823529411764,,0.3911290322580645,0.6551632818577554,,0.23808571428571423
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of Mar.,1014.29,1100,1328.57,689.29,1135.71,339.29,875,604.17,657.14,329.29,600,408.33,1342.86,1642.86,,,,621.43,950,764.29,1057.14,,,678.57,821.43,250,1500,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 3rd week of Mar.,1057.14,985.71,1414.28,514.29,864.29,287.14,900,596.43,782.14,257.14,500,510,1566.67,1621.43,,,,671.43,900,871,1264.29,,,621.43,966.67,198.57,1591.67,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th  week of Mar.,759.17,795,1250,532.14,1050,240,700,437.17,589.29,280,350,310,971.43,1420,,479.17,,500.83,706.25,656.25,916.67,,,415,650,142.5,1058.3,,416.67
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of Mar.,966.67,864.29,1328.57,636.43,957.14,307.14,766.67,571.43,614.29,275,350,395.83,1371.43,1585.21,,,,607.14,850,764.29,1057.14,,,660.71,735.71,208.33,1471.43,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 4th week of Mar.,980,1070,1350,525,930,395.83,912.5,687.5,733.33,283.33,350,425,1670,1558.33,,,,660,920,816.67,1275,,,650,866.67,297.5,1616.67,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
